时间(分钟),信号值(微伏)
3.1733,-6070
3.1760,-6070
3.1787,-6070
3.1813,-6070
3.1840,-6070
3.1867,-6070
3.1893,-6070
3.1920,-6070
3.1947,-6070
3.1973,-6071
3.2000,-6070
3.2027,-6069
3.2053,-6069
3.2080,-6067
3.2107,-6068
3.2133,-6067
3.2160,-6067
3.2187,-6068
3.2213,-6068
3.2240,-6068
3.2267,-6067
3.2293,-6067
3.2320,-6068
3.2347,-6067
3.2373,-6068
3.2400,-6068
3.2427,-6068
3.2453,-6067
3.2480,-6067
3.2507,-6067
3.2533,-6067
3.2560,-6067
3.2587,-6067
3.2613,-6069
3.2640,-6068
3.2667,-6068
3.2693,-6068
3.2720,-6068
3.2747,-6069
3.2773,-6069
3.2800,-6069
3.2827,-6069
3.2853,-6069
3.2880,-6069
3.2907,-6068
3.2933,-6068
3.2960,-6069
3.2987,-6069
3.3013,-6070
3.3040,-6071
3.3067,-6071
3.3093,-6071
3.3120,-6071
3.3147,-6071
3.3173,-6070
3.3200,-6070
3.3227,-6071
3.3253,-6072
3.3280,-6073
3.3307,-6073
3.3333,-6074
3.3360,-6073
3.3387,-6073
3.3413,-6074
3.3440,-6073
3.3467,-6072
3.3493,-6073
3.3520,-6073
3.3547,-6074
3.3573,-6072
3.3600,-6072
3.3627,-6074
3.3653,-6075
3.3680,-6076
3.3707,-6076
3.3733,-6076
3.3760,-6075
3.3787,-6074
3.3813,-6074
3.3840,-6076
3.3867,-6076
3.3893,-6076
3.3920,-6075
3.3947,-6075
3.3973,-6077
3.4000,-6076
3.4027,-6076
3.4053,-6077
3.4080,-6075
3.4107,-6076
3.4133,-6075
3.4160,-6078
3.4187,-6078
3.4213,-6078
3.4240,-6078
3.4267,-6077
3.4293,-6078
3.4320,-6077
3.4347,-6075
3.4373,-6077
3.4400,-6077
3.4427,-6077
3.4453,-6077
3.4480,-6075
3.4507,-6076
3.4533,-6076
3.4560,-6075
3.4587,-6075
3.4613,-6075
3.4640,-6075
3.4667,-6075
3.4693,-6075
3.4720,-6074
3.4747,-6076
3.4773,-6076
3.4800,-6075
3.4827,-6074
3.4853,-6075
3.4880,-6074
3.4907,-6074
3.4933,-6074
3.4960,-6075
3.4987,-6074
3.5013,-6073
3.5040,-6073
3.5067,-6074
3.5093,-6073
3.5120,-6074
3.5147,-6074
3.5173,-6075
3.5200,-6075
3.5227,-6075
3.5253,-6074
3.5280,-6075
3.5307,-6074
3.5333,-6074
3.5360,-6074
3.5387,-6074
3.5413,-6075
3.5440,-6074
3.5467,-6076
3.5493,-6076
3.5520,-6074
3.5547,-6075
3.5573,-6075
3.5600,-6075
3.5627,-6075
3.5653,-6073
3.5680,-6075
3.5707,-6074
3.5733,-6076
3.5760,-6076
3.5787,-6076
3.5813,-6076
3.5840,-6076
3.5867,-6074
3.5893,-6074
3.5920,-6075
3.5947,-6075
3.5973,-6074
3.6000,-6075
3.6027,-6074
3.6053,-6074
3.6080,-6073
3.6107,-6074
3.6133,-6075
3.6160,-6074
3.6187,-6073
3.6213,-6073
3.6240,-6073
3.6267,-6074
3.6293,-6075
3.6320,-6076
3.6347,-6075
3.6373,-6075
3.6400,-6075
3.6427,-6075
3.6453,-6076
3.6480,-6076
3.6507,-6075
3.6533,-6074
3.6560,-6075
3.6587,-6075
3.6613,-6075
3.6640,-6075
3.6667,-6076
3.6693,-6076
3.6720,-6076
3.6747,-6076
3.6773,-6077
3.6800,-6077
3.6827,-6077
3.6853,-6077
3.6880,-6076
3.6907,-6078
3.6933,-6077
3.6960,-6078
3.6987,-6076
3.7013,-6077
3.7040,-6078
3.7067,-6078
3.7093,-6078
3.7120,-6077
3.7147,-6077
3.7173,-6077
3.7200,-6076
3.7227,-6076
3.7253,-6077
3.7280,-6078
3.7307,-6077
3.7333,-6078
3.7360,-6078
3.7387,-6077
3.7413,-6077
3.7440,-6078
3.7467,-6078
3.7493,-6078
3.7520,-6078
3.7547,-6079
3.7573,-6079
3.7600,-6079
3.7627,-6078
3.7653,-6078
3.7680,-6079
3.7707,-6079
3.7733,-6080
3.7760,-6080
3.7787,-6080
3.7813,-6079
3.7840,-6080
3.7867,-6079
3.7893,-6079
3.7920,-6078
3.7947,-6078
3.7973,-6079
3.8000,-6080
3.8027,-6079
3.8053,-6079
3.8080,-6078
3.8107,-6080
3.8133,-6079
3.8160,-6079
3.8187,-6079
3.8213,-6079
3.8240,-6080
3.8267,-6080
3.8293,-6079
3.8320,-6080
3.8347,-6080
3.8373,-6082
3.8400,-6081
3.8427,-6079
3.8453,-6080
3.8480,-6080
3.8507,-6080
3.8533,-6081
3.8560,-6080
3.8587,-6079
3.8613,-6080
3.8640,-6079
3.8667,-6081
3.8693,-6081
3.8720,-6081
3.8747,-6078
3.8773,-6080
3.8800,-6081
3.8827,-6081
3.8853,-6081
3.8880,-6081
3.8907,-6081
3.8933,-6081
3.8960,-6081
3.8987,-6080
3.9013,-6080
3.9040,-6081
3.9067,-6082
3.9093,-6082
3.9120,-6081
3.9147,-6081
3.9173,-6081
3.9200,-6082
3.9227,-6081
3.9253,-6080
3.9280,-6081
3.9307,-6082
3.9333,-6081
